DataFrame Name,Number of Columns
df1,323
df2,323
df3,323
df4,323
df5,323
df6,323
df7,323
df8,323
df9,318
df10,318
df11,318
df12,323
df13,323
df14,323
df15,318
df16,318
df17,318
df18,318
df19,318
df20,318
df21,318
df22,318
df23,318
df24,318
df25,318
df26,318
df27,318
df28,323
df29,318
df30,318
df31,318
df32,323
df33,323
df34,323
df35,323
df36,323
df37,323
df38,323
df39,318
df40,318
df41,318
df42,318
df43,318
df44,318
df45,318
df46,318
df47,318
df48,323
df49,323
df50,323
df51,323
df52,323
df53,318
df54,318
df55,323
df56,323
df57,323
df58,323
df59,323
df60,323
df61,318
df62,318
df63,318
df64,323
df65,323
df66,323
df67,323
df68,323
df69,323
df70,323
df71,323
df72,323
df73,323
df74,323
df75,323
df76,323
df77,323
df78,323
df79,318
df80,323
df81,323
df82,323
df83,323
df84,323
df85,323
df86,323
df87,323
df88,323
df89,323
df90,323
df91,323
df92,318
df93,323
df94,323
df95,323
df96,323
df97,323
df98,318
df99,323
df100,323
df101,323
df102,323
df103,323
df104,323
df105,323
df106,323
df107,323
df108,323
df109,323
df110,323
df111,323
df112,643
df113,323
df114,323
df115,323
df116,323
df117,323
df118,323
df119,323
df120,323
df121,323
df122,323
df123,323
df124,323
df125,323
df126,323
df127,323
df128,323
df129,323
df130,323
df131,323
df132,323
df133,323
df134,323
df135,323
df136,318
df137,318
df138,318
df139,318
df140,318
df141,318
df142,318
df143,318
df144,323
df145,323
df146,323
df147,323
df148,323
df149,323
df150,323
df151,323
df152,323
df153,323
df154,323
df155,323
df156,323
df157,323
df158,323
df159,323
df160,323
df161,323
df162,323
df163,323
df164,323
df165,323
df166,323
df167,323
df168,323
df169,323
df170,323
df171,323
df172,323
df173,323
df174,323
df175,323
df176,323
df177,323
df178,323
df179,323
df180,323
df181,323
df182,323
df183,323
df184,323
df185,323
df186,323
df187,323
df188,323
df189,323
df190,323
df191,323
df192,323
df193,323
df194,323
df195,323
df196,323
df197,323
df198,323
df199,323
df200,323
df201,323
df202,323
df203,323
df204,323
df205,323
df206,323
df207,323
df208,323
df209,323
df210,323
df211,323
df212,323
df213,323
df214,323
df215,323
df216,323
df217,323
df218,323
df219,323
df220,323
df221,323
df222,323
df223,323
df224,323
df225,323
df226,323
df227,323
df228,323
df229,323
df230,323
df231,323
df232,323
df233,323
df234,323
df235,323
df236,323
df237,323
df238,323
df239,323
df240,323
df241,323
df242,323
df243,323
df244,323
df245,323
df246,323
df247,323
df248,323
df249,323
df250,323
df251,323
df252,323
df253,323
df254,323
df255,323
df256,323
df257,323
df258,323
df259,323
df260,323
df261,323
df262,323
df263,323
df264,323
df265,323
df266,323
df267,323
df268,323
df269,323
df270,323
df271,323
df272,323
df273,323
df274,323
df275,323
df276,323
df277,323
df278,323
df279,323
df280,323
df281,323
df282,323
df283,323
df284,323
df285,323
df286,323
df287,323
df288,323
df289,323
df290,323
df291,323
df292,323
df293,323
df294,323
df295,323
df296,323
df297,323
df298,323
df299,323
df300,323
df301,323
df302,323
df303,323
df304,323
df305,323
df306,323
df307,323
df308,323
df309,323
df310,323
df311,323
df312,323
df313,323
df314,323
df315,323
df316,323
df317,323
df318,323
df319,4
df320,323
df321,323
df322,323
df323,323
df324,323
df325,323
df326,323
df327,323
df328,323
df329,323
df330,323
df331,323
df332,323
df333,323
df334,323
df335,323
df336,323
df337,323
df338,323
df339,323
df340,323
df341,323
df342,323
df343,323
df344,323
df345,323
df346,323
df347,323
df348,323
df349,323
df350,323
df351,323
df352,323
df353,323
df354,323
df355,323
df356,323
df357,323
df358,323
df359,323
df360,323
df361,323
df362,323
df363,323
df364,323
df365,323
df366,323
df367,323
df368,323
df369,323
df370,323
df371,323
df372,323
df373,323
df374,323
df375,323
df376,323
df377,323
df378,323
df379,323
df380,323
df381,323
df382,323
df383,323
df384,323
df385,323
df386,323
df387,323
df388,323
df389,323
df390,323
df391,323
df392,323
df393,323
df394,323
df395,323
df396,323
df397,643
df398,323
df399,323
df400,323
df401,323
df402,323
df403,323
df404,323
df405,323
df406,323
df407,323
df408,323
df409,323
df410,323
df411,323
df412,323
df413,323
df414,323
df415,323
